date,temperature,humidity,is_weekend,energy_consumption
2024-01-01,23.108904159657687,53.16615826804646,0,425.8213587581643
2024-01-02,43.275000724347066,87.67143382943485,0,587.5080264724024
2024-01-03,35.619787963399176,84.32103851736383,0,549.6387654206877
2024-01-04,30.95304694689628,41.74746808735779,0,459.01417889565136
2024-01-05,15.460652415485278,34.16167805250993,0,354.33786521676313
2024-01-06,15.459808211767093,36.0466800826456,1,296.13216590244826
2024-01-07,12.03292642588698,31.093309539092985,1,284.36339042926033
2024-01-08,40.31616510212273,35.6665776453557,0,468.8332270711095
2024-01-09,31.039025411012307,70.98040640498141,0,476.77469451324583
2024-01-10,34.78254022286159,34.27131890761374,0,432.3744758203614
2024-01-11,10.720457300353086,49.138537817625675,0,333.1714429267582
2024-01-12,43.9468448256698,80.69251865816727,0,577.6041266042705
2024-01-13,39.13549242801476,31.39631614414955,1,408.6542782202684
2024-01-14,17.431868873739667,78.86810895533614,1,411.65993540212344
2024-01-15,16.36387385224852,46.911286486403995,0,378.91121597169223
2024-01-16,16.419157844870185,37.08988965729937,0,354.08456325086104
2024-01-17,20.64847850358382,71.80422992184904,0,455.14490817345205
2024-01-18,28.366475107128323,67.73657080679304,0,455.1941640591489
2024-01-19,25.11807565247405,82.64832081162318,0,493.2431654667023
2024-01-20,20.193019906931468,74.10426262823314,1,406.8822767299933
2024-01-21,31.414851315283283,78.20885582309091,1,448.70610576479976
2024-01-22,14.882285122821465,46.922074354278394,0,379.69311475473336
2024-01-23,20.225062698732636,40.64637262678337,0,385.80302282217406
2024-01-24,22.822664515279207,75.0368850984515,0,460.03421363429106
2024-01-25,25.962449447596256,78.41008435603584,0,492.9602346111158
2024-01-26,37.481158648755475,89.4303085200404,0,588.9733388619021
2024-01-27,16.98858237554259,54.757060614685585,1,346.27569565766913
2024-01-28,27.998205344476407,52.32108514756699,1,397.1154028805193
2024-01-29,30.734509910171486,76.58477764451982,0,502.2484958444946
2024-01-30,11.62576444519992,50.448212415181075,0,350.52680336171386
2024-01-31,31.264069816550343,85.84543953621389,0,536.3145863206219
2024-02-01,15.968344329055203,81.5047651105807,0,434.2904136073488
2024-02-02,12.276805754484784,55.7396416425011,0,373.5789744296201
2024-02-03,43.210993803866664,75.05226406748984,1,511.38292268666186
2024-02-04,43.79712115760958,75.27257244508094,1,524.3205489356736
2024-02-05,38.29390718407614,36.187432130155955,0,467.18102123356215
2024-02-06,20.661481921067974,84.15317440077399,0,481.9891578494669
2024-02-07,13.418523990223434,60.315142346871426,0,382.62274065631254
2024-02-08,33.94815592792549,79.5874479664645,0,526.2169262196227
2024-02-09,25.405337280886044,49.20297606183671,0,415.64500137028057
2024-02-10,14.271338219567259,83.73139370977202,1,384.3765459166192
2024-02-11,27.331191853894456,53.35210072404979,1,397.1331656480204
2024-02-12,11.203598239032644,30.6502590888179,0,324.88839553925254
2024-02-13,41.826214072757374,84.32291858515582,0,568.5552542923223
2024-02-14,19.05729935600059,35.477200607168015,0,374.93695719539556
2024-02-15,33.188279952389365,49.15881825542489,0,477.8154148608461
2024-02-16,20.909887663129382,87.0037180230483,0,482.6912233939805
2024-02-17,28.20238074122338,87.03642881625336,1,483.85271946420426
2024-02-18,29.13485977701479,64.40627328739717,1,416.74895346883255
2024-02-19,16.469905943393446,67.91023273018796,0,405.723448144229
2024-02-20,43.93546197175955,56.90673131869919,0,515.7035700071533
2024-02-21,37.12964881763901,47.592646301883875,0,495.7939798068546
2024-02-22,42.88246295474662,49.71987272219496,0,520.3957167816636
2024-02-23,41.31895726496771,70.35110736462231,0,546.7411543449786
2024-02-24,30.92649925838798,75.1424717662608,1,457.7171260876597
2024-02-25,42.265598225809086,77.4947426235509,1,505.0625859031634
2024-02-26,13.097237571817182,77.37708856767324,0,444.69788479060065
2024-02-27,16.859400184670083,35.47236618292142,0,356.5339451089455
2024-02-28,11.582955111868833,59.66521828215489,0,378.33916006970287
2024-02-29,21.38656157671425,33.45352560099866,0,381.09752532455553
2024-03-01,23.60370513913187,62.97173293942413,0,448.7720838918748
2024-03-02,19.497216112086356,56.49183008240262,1,362.70858096802834
2024-03-03,39.00581282031753,83.26225096549798,1,503.64882147813046
2024-03-04,22.486366434275624,51.05490075312472,0,419.2563172489875
2024-03-05,19.832707839058326,37.02402098565635,0,392.03182613135465
2024-03-06,28.994362910538698,38.57950092317015,0,435.58501686058355
2024-03-07,14.932347874116694,75.69063790304833,0,441.9748814430741
2024-03-08,38.07689432639139,67.09308379897567,0,519.4584824655964
